chunk_id,description,metadata
1d54ea8c-2da2-447b-95ec-c936309e4258,"Symbol: F, Function: Air filtration M5,F7,, Options of functions: F9 | Symbol: V, Function: Ventilation, Options of functions:  | Symbol: C, Function: Cooling (hydronic or dx), Options of functions: Rows: 2, 4, 6 | Symbol: H, Function: Heating (hydronic), Options of functions: Hot Water - rows: 1, 2, 3, 4 | Symbol: H, Function: Heating (electric), Options of functions: Draw-through electric heater | Symbol: S, Function: Silencer, Options of functions: Standard size | Symbol: P, Function: Recovery with counter-flow heat exchangers, Options of functions: Standard size","{""source"": ""testing1.md"", ""section"": ""2 Model Descriptions"", ""position"": 26, ""table_title"": ""Table 1 Functions coding""}"
644622f6-4a96-4071-8ad0-6aeb9be4f071,"Function: , Name: , VVS 005s: L [mm], VVS 010s: L [mm], VVS 015s: L [mm], VVS 020s: L [mm], VVS 030s: L [mm] | Function: F, Name: Filter, VVS 005s: 135, VVS 010s: 135, VVS 015s: 135, VVS 020s: 135, VVS 030s: 135 | Function: H, Name: Water heater, VVS 005s: 220, VVS 010s: 220, VVS 015s: 220, VVS 020s: 220, VVS 030s: 220 | Function: C, Name: Cooler, VVS 005s: 390, VVS 010s: 390, VVS 015s: 390, VVS 020s: 390, VVS 030s: 390 | Function: C_de, Name: Cooler with droplet eliminator, VVS 005s: 480, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: HC, Name: Water heater and cooler, VVS 005s: 480, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: FPV, Name: Plate heat exchanger, filters and fans, VVS 005s: 1250, VVS 010s: 1500, VVS 015s: 1500, VVS 020s: 1828, VVS 030s: 1828 | Function: V, Name: Fan, VVS 005s: 390, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: FHV, Name: Filter, water heater and fan, VVS 005s: 480, VVS 010s: 760, VVS 015s: 760, VVS 020s: 760, VVS 030s: 760","{""source"": ""testing1.md"", ""section"": ""FPV + HC:"", ""position"": 42, ""table_title"": ""Table 2 Functionality and length of the sections""}"
64b872a6-b4fd-46d9-99ef-eb08243bd2ff,"AHU size: VVS005s, W[mm]: 415 400, H [mm]:  | AHU size: VVS010s 595, W[mm]: , H [mm]: 400 | AHU size: VVS015s 795, W[mm]: 400, H [mm]:  | AHU size: VVS020s 825, W[mm]: , H [mm]: 490 | AHU size: VVS030s, W[mm]: 1100, H [mm]: 490","{""source"": ""testing1.md"", ""section"": ""FHEV:"", ""position"": 48, ""table_title"": ""Fig.4. Example of the sections""}"
