chunk_id,description,metadata,user_id_owner
39e3d786-bed4-484a-b9a7-4d7328343c00,"AHU size: VVS005s, W[mm]: 415 400, H [mm]:  | AHU size: VVS010s 595, W[mm]: , H [mm]: 400 | AHU size: VVS015s 795, W[mm]: 400, H [mm]:  | AHU size: VVS020s 825, W[mm]: , H [mm]: 490 | AHU size: VVS030s, W[mm]: 1100, H [mm]: 490","{""source"": ""testing1.md"", ""section"": ""FHEV:"", ""position"": 48, ""table_title"": ""Fig.4. Example of the sections"", ""user_id_owner"": ""0001""}",0001
475757b0-fc0a-4f6a-91b6-786ef0227156,"AHU size: VVS005s, W[mm]: 415 400, H [mm]:  | AHU size: VVS010s 595, W[mm]: , H [mm]: 400 | AHU size: VVS015s 795, W[mm]: 400, H [mm]:  | AHU size: VVS020s 825, W[mm]: , H [mm]: 490 | AHU size: VVS030s, W[mm]: 1100, H [mm]: 490","{""source"": ""testing1.md"", ""section"": ""FHEV:"", ""position"": 48, ""table_title"": ""Fig.4. Example of the sections"", ""user_id_owner"": ""0032""}",0032
68e37477-4dfe-411a-a1ea-afee85758dad,"Function: , Name: , VVS 005s: L [mm], VVS 010s: L [mm], VVS 015s: L [mm], VVS 020s: L [mm], VVS 030s: L [mm] | Function: F, Name: Filter, VVS 005s: 135, VVS 010s: 135, VVS 015s: 135, VVS 020s: 135, VVS 030s: 135 | Function: H, Name: Water heater, VVS 005s: 220, VVS 010s: 220, VVS 015s: 220, VVS 020s: 220, VVS 030s: 220 | Function: C, Name: Cooler, VVS 005s: 390, VVS 010s: 390, VVS 015s: 390, VVS 020s: 390, VVS 030s: 390 | Function: C_de, Name: Cooler with droplet eliminator, VVS 005s: 480, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: HC, Name: Water heater and cooler, VVS 005s: 480, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: FPV, Name: Plate heat exchanger, filters and fans, VVS 005s: 1250, VVS 010s: 1500, VVS 015s: 1500, VVS 020s: 1828, VVS 030s: 1828 | Function: V, Name: Fan, VVS 005s: 390, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: FHV, Name: Filter, water heater and fan, VVS 005s: 480, VVS 010s: 760, VVS 015s: 760, VVS 020s: 760, VVS 030s: 760","{""source"": ""testing1.md"", ""section"": ""FPV + HC:"", ""position"": 42, ""table_title"": ""Table 2 Functionality and length of the sections"", ""user_id_owner"": ""0032""}",0032
ae014fa2-6f0c-4d49-8f68-5d5be04b1960,"Symbol: F, Function: Air filtration M5,F7,, Options of functions: F9 | Symbol: V, Function: Ventilation, Options of functions:  | Symbol: C, Function: Cooling (hydronic or dx), Options of functions: Rows: 2, 4, 6 | Symbol: H, Function: Heating (hydronic), Options of functions: Hot Water - rows: 1, 2, 3, 4 | Symbol: H, Function: Heating (electric), Options of functions: Draw-through electric heater | Symbol: S, Function: Silencer, Options of functions: Standard size | Symbol: P, Function: Recovery with counter-flow heat exchangers, Options of functions: Standard size","{""source"": ""testing1.md"", ""section"": ""2 Model Descriptions"", ""position"": 26, ""table_title"": ""Table 1 Functions coding"", ""user_id_owner"": ""0001""}",0001
dd0aafdf-cf8f-44c4-9c5e-7f262bb1fd48,"Function: , Name: , VVS 005s: L [mm], VVS 010s: L [mm], VVS 015s: L [mm], VVS 020s: L [mm], VVS 030s: L [mm] | Function: F, Name: Filter, VVS 005s: 135, VVS 010s: 135, VVS 015s: 135, VVS 020s: 135, VVS 030s: 135 | Function: H, Name: Water heater, VVS 005s: 220, VVS 010s: 220, VVS 015s: 220, VVS 020s: 220, VVS 030s: 220 | Function: C, Name: Cooler, VVS 005s: 390, VVS 010s: 390, VVS 015s: 390, VVS 020s: 390, VVS 030s: 390 | Function: C_de, Name: Cooler with droplet eliminator, VVS 005s: 480, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: HC, Name: Water heater and cooler, VVS 005s: 480, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: FPV, Name: Plate heat exchanger, filters and fans, VVS 005s: 1250, VVS 010s: 1500, VVS 015s: 1500, VVS 020s: 1828, VVS 030s: 1828 | Function: V, Name: Fan, VVS 005s: 390, VVS 010s: 480, VVS 015s: 480, VVS 020s: 480, VVS 030s: 480 | Function: FHV, Name: Filter, water heater and fan, VVS 005s: 480, VVS 010s: 760, VVS 015s: 760, VVS 020s: 760, VVS 030s: 760","{""source"": ""testing1.md"", ""section"": ""FPV + HC:"", ""position"": 42, ""table_title"": ""Table 2 Functionality and length of the sections"", ""user_id_owner"": ""0001""}",0001
f4bd511d-ae4b-474b-9b79-ce8dcd6c0d37,"Symbol: F, Function: Air filtration M5,F7,, Options of functions: F9 | Symbol: V, Function: Ventilation, Options of functions:  | Symbol: C, Function: Cooling (hydronic or dx), Options of functions: Rows: 2, 4, 6 | Symbol: H, Function: Heating (hydronic), Options of functions: Hot Water - rows: 1, 2, 3, 4 | Symbol: H, Function: Heating (electric), Options of functions: Draw-through electric heater | Symbol: S, Function: Silencer, Options of functions: Standard size | Symbol: P, Function: Recovery with counter-flow heat exchangers, Options of functions: Standard size","{""source"": ""testing1.md"", ""section"": ""2 Model Descriptions"", ""position"": 26, ""table_title"": ""Table 1 Functions coding"", ""user_id_owner"": ""0032""}",0032
